age,job,marital,education,default,balance,housing,loan,pdays,previous,poutcome,result
50,entrepreneur,married,secondary,no,1857,no,yes,-1,0,unknown,fail
37,technician,single,secondary,no,363,yes,no,-1,0,unknown,fail
35,blue-collar,married,primary,no,422,yes,no,-1,0,unknown,fail
55,retired,married,secondary,no,119,no,yes,-1,0,unknown,fail
40,blue-collar,single,secondary,no,1066,yes,no,-1,0,unknown,fail
59,retired,married,secondary,no,1080,no,no,-1,0,unknown,fail
40,technician,married,secondary,no,3056,no,no,-1,0,unknown,fail
43,management,single,tertiary,no,-2,no,yes,-1,0,unknown,fail
59,unknown,married,primary,no,282,no,no,-1,0,unknown,fail
25,entrepreneur,single,tertiary,yes,6,yes,yes,-1,0,unknown,fail
,entrepreneur,single,tertiary,no,484,yes,no,-1,0,unknown,fail
,blue-collar,married,secondary,no,167,yes,yes,-1,0,unknown,success
,technician,married,secondary,no,994,yes,no,93,6,success,success
27,blue-collar,married,secondary,no,484,yes,no,361,2,failure,fail
,blue-collar,single,secondary,no,0,yes,no,-1,0,unknown,fail
,blue-collar,married,secondary,no,-102,yes,no,-1,0,unknown,fail
,admin.,single,secondary,no,-342,no,yes,-1,0,unknown,fail
56,management,married,primary,no,-155,yes,no,-1,0,unknown,fail
,student,single,tertiary,no,1138,no,no,83,3,success,success
,admin.,single,secondary,no,0,no,no,-1,0,unknown,fail
,technician,single,secondary,no,1044,yes,no,-1,0,unknown,fail
,services,divorced,secondary,no,-203,yes,no,297,1,other,fail
,blue-collar,married,secondary,no,1513,no,yes,-1,0,unknown,fail
51,management,single,tertiary,no,4305,,no,-1,0,unknown,fail
,admin.,divorced,secondary,no,141,yes,yes,-1,0,unknown,fail
,technician,married,secondary,no,183,no,no,182,3,other,success
53,technician,married,secondary,no,206,no,no,-1,0,,fail
,admin.,married,secondary,no,-5,yes,no,-1,0,,fail
,unemployed,married,secondary,no,629,yes,no,-1,0,,fail
,management,single,tertiary,no,2067,yes,no,-1,0,,success
58,technician,married,secondary,no,201,no,no,-1,0,,fail
,self-employed,married,tertiary,no,0,no,yes,-1,0,unknown,fail
64,retired,married,primary,no,445,no,no,186,1,other,fail
,technician,married,secondary,no,222,yes,no,190,6,failure,fail
54,management,married,tertiary,no,3795,yes,yes,119,1,failure,fail
52,technician,married,tertiary,no,7,no,yes,-1,0,unknown,fail
,blue-collar,married,primary,no,678,no,no,-1,0,,fail
,unemployed,married,tertiary,no,1148,no,no,-1,0,,fail
43,blue-collar,married,secondary,no,0,yes,no,-1,0,,fail
53,retired,married,secondary,no,1004,yes,no,-1,0,,fail
30,management,married,secondary,no,1439,yes,no,-1,0,,fail
34,technician,single,secondary,no,666,no,no,-1,0,,success
,blue-collar,married,secondary,no,167,no,no,-1,0,,fail
35,entrepreneur,married,tertiary,no,2723,yes,yes,-1,0,unknown,fail
52,technician,married,secondary,no,553,yes,no,-1,0,,fail
57,retired,divorced,secondary,no,316,no,no,-1,0,,fail
27,management,single,tertiary,no,134,yes,yes,-1,0,unknown,fail
34,entrepreneur,married,secondary,no,3994,no,yes,-1,0,unknown,fail
51,services,married,secondary,no,421,yes,no,-1,0,unknown,fail
33,admin.,married,secondary,no,21,no,no,-1,0,unknown,fail
40,management,married,tertiary,no,3160,no,,-1,0,unknown,fail
32,management,married,tertiary,no,132,yes,,-1,0,unknown,fail
36,blue-collar,divorced,secondary,no,625,yes,,-1,0,unknown,fail
37,blue-collar,married,secondary,no,195,yes,,-1,0,unknown,fail
59,admin.,married,primary,no,4387,yes,,-1,0,unknown,fail
50,technician,married,tertiary,no,0,no,yes,258,6,failure,fail
39,blue-collar,married,secondary,no,8,no,,-1,0,unknown,fail
38,services,married,secondary,no,1313,no,,-1,0,unknown,fail
53,housemaid,married,secondary,no,736,yes,,-1,0,unknown,fail
28,blue-collar,married,primary,no,286,yes,,-1,0,unknown,fail
35,blue-collar,married,primary,no,-210,yes,yes,-1,0,unknown,fail
52,admin.,married,primary,no,2255,,,-1,0,unknown,fail
41,management,married,tertiary,no,226,no,no,-1,0,unknown,fail
